                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.22314,                0.24923,                0.97201,                0.99895,                0.99885,                  0.995,                0.97473,                0.26311,                0.35707,                0.43996,              0.0010595,              0.0010595,              0.0010595
                     98,                0.20949,                0.25461,                0.96736,                 0.9561,                0.95862,                0.98548,                0.91651,                0.37694,                0.50326,                0.59292,              0.0010496,              0.0010496,              0.0010496
                     99,                0.22594,                 0.2535,                 0.9765,                0.98975,                0.99845,                0.99455,                0.96934,                0.26829,                0.40718,                0.43871,              0.0010397,              0.0010397,              0.0010397
                    100,                0.22483,                0.25286,                   0.98,                0.96961,                0.99024,                 0.9932,                0.96344,                0.29043,                0.41832,                0.46037,              0.0010298,              0.0010298,              0.0010298
                    101,                0.21642,                0.24906,                0.97389,                0.98745,                0.99517,                0.99442,                0.97702,                0.28648,                0.35222,                0.44895,              0.0010199,              0.0010199,              0.0010199
                    102,                0.20655,                0.23437,                0.95385,                 0.9807,                0.98391,                0.99436,                0.97016,                0.28189,                0.34152,                0.45872,                0.00101,                0.00101,                0.00101
                    103,                0.21442,                0.23897,                0.97288,                0.99812,                 0.9954,                  0.995,                0.97591,                0.28933,                 0.2943,                0.45874,              0.0010001,              0.0010001,              0.0010001
                    104,                0.20564,                0.23978,                0.97075,                0.99449,                0.99655,                0.99492,                0.97826,                0.27309,                 0.3234,                0.45017,              0.0009902,              0.0009902,              0.0009902
                    105,                0.21686,                0.23556,                0.97231,                0.99309,                0.99151,                0.99481,                0.97071,                0.28871,                0.32744,                0.47101,              0.0009803,              0.0009803,              0.0009803
                    106,                0.20256,                0.22881,                0.96551,                0.98751,                0.99936,                0.99473,                0.97932,                0.27264,                 0.3179,                0.45018,              0.0009704,              0.0009704,              0.0009704
                    107,                0.19921,                0.23226,                0.95752,                0.99112,                      1,                0.99482,                0.97353,                0.27755,                0.31381,                0.45207,              0.0009605,              0.0009605,              0.0009605
                    108,                0.20467,                0.22257,                0.96613,                0.99379,                 0.9977,                0.99492,                0.97603,                0.26254,                0.35726,                0.43965,              0.0009506,              0.0009506,              0.0009506
                    109,                0.20301,                0.23001,                 0.9606,                 0.9916,                      1,                0.99464,                 0.9758,                0.26343,                0.31969,                0.44553,              0.0009407,              0.0009407,              0.0009407
                    110,                0.20808,                 0.2348,                0.96291,                0.99405,                0.99885,                0.99473,                 0.9778,                0.25842,                0.33301,                0.42545,              0.0009308,              0.0009308,              0.0009308
                    111,                0.20606,                0.23035,                0.96443,                0.99656,                0.99771,                0.99499,                0.97895,                0.23542,                0.32869,                0.40326,              0.0009209,              0.0009209,              0.0009209
                    112,                0.20091,                0.23259,                0.95614,                0.98841,                 0.9977,                0.99453,                0.97547,                0.24812,                0.33973,                0.41031,               0.000911,               0.000911,               0.000911
                    113,                0.20258,                0.22464,                0.96408,                0.99824,                0.99885,                0.99493,                0.98113,                0.25558,                0.33642,                0.41691,              0.0009011,              0.0009011,              0.0009011
                    114,                0.20431,                0.22277,                0.96437,                0.99885,                0.99512,                0.99499,                 0.9794,                0.28623,                0.33394,                 0.4528,              0.0008912,              0.0008912,              0.0008912
                    115,                0.19204,                0.22194,                0.95692,                0.97128,                0.98621,                0.99375,                0.95772,                0.31765,                 0.4208,                0.50435,              0.0008813,              0.0008813,              0.0008813
                    116,                0.20167,                0.22747,                0.96418,                0.99625,                      1,                0.99498,                0.98006,                0.26085,                0.40189,                0.42483,              0.0008714,              0.0008714,              0.0008714
                    117,                0.19651,                0.21985,                 0.9607,                0.98267,                0.97788,                0.99368,                0.97083,                0.30643,                0.36464,                0.49337,              0.0008615,              0.0008615,              0.0008615
                    118,                0.19752,                0.21902,                0.96469,                0.99538,                0.99655,                0.99499,                0.98047,                0.26307,                0.32952,                0.43111,              0.0008516,              0.0008516,              0.0008516
                    119,                0.18528,                0.20898,                0.94596,                0.99854,                0.99655,                0.99498,                0.98105,                0.27403,                0.35922,                0.44732,              0.0008417,              0.0008417,              0.0008417
                    120,                0.19875,                 0.2145,                0.96237,                0.99941,                0.99655,                  0.995,                0.98243,                0.23719,                0.34646,                0.38984,              0.0008318,              0.0008318,              0.0008318
                    121,                0.19581,                0.21953,                0.96135,                 0.9977,                0.99728,                0.99497,                0.98186,                0.25223,                 0.4022,                0.40999,              0.0008219,              0.0008219,              0.0008219
                    122,                0.19234,                0.21507,                0.95847,                0.97754,                0.98621,                0.99419,                0.96525,                0.25881,                0.46739,                0.42577,               0.000812,               0.000812,               0.000812
                    123,                0.17764,                 0.2001,                0.94419,                0.96601,                0.96897,                0.99159,                 0.9467,                0.30661,                0.44182,                0.47733,              0.0008021,              0.0008021,              0.0008021
                    124,                0.18741,                0.20937,                0.95808,                0.99447,                 0.9954,                0.99499,                0.98087,                0.23988,                 0.3392,                0.40073,              0.0007922,              0.0007922,              0.0007922
                    125,                 0.1945,                 0.2216,                0.95756,                0.97727,                0.98836,                0.99383,                0.97309,                0.26967,                0.39288,                 0.4434,              0.0007823,              0.0007823,              0.0007823
                    126,                 0.1864,                0.21334,                0.95838,                0.98582,                 0.9954,                0.99469,                0.98128,                0.24589,                0.32762,                0.41327,              0.0007724,              0.0007724,              0.0007724
                    127,                0.18971,                0.21065,                0.95769,                0.99201,                0.99848,                0.99498,                0.97722,                0.25706,                0.35675,                  0.428,              0.0007625,              0.0007625,              0.0007625
                    128,                 0.1824,                   0.21,                0.96136,                0.99521,                      1,                0.99493,                0.98043,                0.24733,                0.37719,                0.40741,              0.0007526,              0.0007526,              0.0007526
                    129,                0.18374,                0.21703,                0.95702,                0.98885,                0.99655,                0.99476,                0.97741,                0.26805,                0.35718,                0.42749,              0.0007427,              0.0007427,              0.0007427
                    130,                 0.1862,                0.20952,                0.95533,                0.99672,                      1,                0.99499,                0.98341,                0.23332,                0.32505,                0.39198,              0.0007328,              0.0007328,              0.0007328
                    131,                0.19853,                0.21442,                0.96598,                0.99869,                0.99885,                  0.995,                0.98334,                0.22674,                0.31868,                 0.3782,              0.0007229,              0.0007229,              0.0007229
                    132,                0.17929,                0.20373,                0.94585,                0.99797,                      1,                0.99495,                0.98473,                0.23337,                0.32074,                0.39878,               0.000713,               0.000713,               0.000713
                    133,                0.18901,                0.20054,                0.95648,                0.99429,                 0.9977,                0.99493,                0.98228,                0.24421,                0.32853,                 0.3943,              0.0007031,              0.0007031,              0.0007031
                    134,                0.17932,                0.20449,                0.94741,                0.99848,                      1,                  0.995,                0.98506,                0.22267,                 0.3097,                0.36731,              0.0006932,              0.0006932,              0.0006932
                    135,                0.18146,                0.20642,                0.95078,                0.99541,                0.99751,                0.99493,                0.97975,                0.24201,                0.33297,                 0.3972,              0.0006833,              0.0006833,              0.0006833
                    136,                0.18424,                0.20953,                0.96094,                0.99859,                      1,                0.99498,                0.98321,                0.23099,                0.29258,                0.38464,              0.0006734,              0.0006734,              0.0006734
                    137,                0.17975,                0.20155,                0.94705,                0.99403,                0.99885,                0.99484,                0.98302,                0.24953,                0.30036,                 0.4108,              0.0006635,              0.0006635,              0.0006635
                    138,                0.18035,                0.20375,                0.94462,                0.99656,                      1,                0.99491,                0.98237,                0.24167,                 0.3095,                0.39399,              0.0006536,              0.0006536,              0.0006536
                    139,                0.18162,                0.20515,                 0.9492,                0.99542,                0.99824,                0.99495,                 0.9831,                0.22974,                0.28061,                0.38326,              0.0006437,              0.0006437,              0.0006437
                    140,                0.17885,                0.19667,                0.95156,                0.99532,                      1,                0.99492,                0.98541,                0.23308,                0.33692,                0.38511,              0.0006338,              0.0006338,              0.0006338
                    141,                0.17611,                0.19471,                0.95346,                0.99201,                0.99912,                 0.9949,                0.97951,                0.24052,                0.30908,                0.39968,              0.0006239,              0.0006239,              0.0006239
                    142,                0.17074,                0.20064,                0.95043,                0.99084,                0.99481,                0.99469,                0.97766,                0.23373,                0.40563,                0.39893,               0.000614,               0.000614,               0.000614
                    143,                0.17268,                0.19713,                0.94837,                0.99628,                0.99885,                0.99479,                 0.9771,                0.25614,                0.36725,                0.42862,              0.0006041,              0.0006041,              0.0006041
                    144,                0.17146,                0.19779,                0.95334,                0.99872,                      1,                0.99491,                0.98383,                0.22727,                0.31278,                0.38065,              0.0005942,              0.0005942,              0.0005942
                    145,                0.17623,                0.18887,                0.95288,                0.99642,                      1,                0.99492,                0.98341,                0.22044,                0.32622,                0.37337,              0.0005843,              0.0005843,              0.0005843
                    146,                0.16782,                0.18967,                0.93617,                0.99636,                0.99885,                0.99497,                0.98289,                0.24018,                0.34474,                0.39328,              0.0005744,              0.0005744,              0.0005744
                    147,                0.17099,                0.20033,                0.94741,                0.99728,                0.99885,                0.99499,                0.98271,                0.23423,                0.29706,                0.39511,              0.0005645,              0.0005645,              0.0005645
                    148,                0.16949,                0.19378,                0.94808,                0.99827,                0.99885,                  0.995,                0.98598,                0.24339,                0.29911,                0.40229,              0.0005546,              0.0005546,              0.0005546
                    149,                0.17097,                0.19969,                 0.9455,                0.99726,                      1,                0.99494,                0.98544,                 0.2396,                0.28971,                0.39556,              0.0005447,              0.0005447,              0.0005447
                    150,                0.17728,                0.19418,                0.94656,                0.99866,                      1,                0.99492,                 0.9854,                0.20701,                0.32907,                0.36049,              0.0005348,              0.0005348,              0.0005348
                    151,                0.16827,                0.18651,                0.94607,                0.99818,                0.99655,                  0.995,                0.98245,                0.21974,                0.32177,                0.37587,              0.0005249,              0.0005249,              0.0005249
                    152,                0.17241,                0.19392,                0.95475,                0.99754,                      1,                  0.995,                0.98631,                 0.2119,                 0.2955,                0.36864,               0.000515,               0.000515,               0.000515
                    153,                0.15675,                0.18772,                0.94785,                0.99656,                0.99871,                0.99498,                0.98611,                0.21522,                0.33518,                0.37082,              0.0005051,              0.0005051,              0.0005051
                    154,                0.16455,                0.18639,                0.95176,                0.99976,                      1,                  0.995,                0.98588,                0.23044,                0.30505,                0.38477,              0.0004952,              0.0004952,              0.0004952
                    155,                0.15999,                0.18976,                0.94321,                0.99998,                      1,                  0.995,                0.98561,                0.23594,                0.33954,                0.39299,              0.0004853,              0.0004853,              0.0004853
